alignment	ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	best_phenotype	complexity	gen	generalization	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	precision	regens	runtime_error	simplicity	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search
0.964864492	0.648877891	93.316	9.962	96.568	64.316	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	38	0.956503591	0	477	20	691	448	36	4	12	7	0.915241127	0	0	1	0	5.309682846	19500	372.6734855	11728	39.85641026
0.964864492	0.640773702	94.504	9.93	98.326	65.504	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	39	0.956503591	0	498	20	706	469	36	4	12	7	0.915241127	0	0	1	0	4.124063969	20000	376.7975495	11923	40.385
0.964864492	0.664047516	91.958	9.89	94.422	62.958	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	40	0.956503591	0	480	20	696	451	43	6	24	14	0.915241127	0	0	1	0	7.054900408	20500	383.8524499	12120	40.87804878
0.964864492	0.63110753	96.478	10.294	101.482	67.478	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	41	0.956503591	0	426	20	603	397	36	4	12	7	0.915241127	0	0	1	0	8.166538954	21000	392.0189888	12314	41.36190476
0.964864492	0.617915419	92.082	9.99	94.662	63.082	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	42	0.956503591	0	427	20	606	398	36	4	12	7	0.915241127	0	0	1	0	8.687152147	21500	400.706141	12521	41.7627907
0.964864492	0.660213009	89.676	9.718	90.918	60.676	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	43	0.956503591	0	458	20	663	429	36	4	12	7	0.915241127	0	0	1	0	5.031483173	22000	405.7376242	12714	42.20909091
0.964864492	0.653196431	91.546	9.882	93.698	62.546	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	44	0.956503591	0	475	20	667	446	38	5	14	9	0.915241127	0	0	1	0	8.964818716	22500	414.7024429	12909	42.62666667
0.964864492	0.634775298	93.96	10.12	97.422	64.96	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	45	0.956503591	0	476	20	675	447	36	4	12	7	0.915241127	0	0	1	0	10.11742973	23000	424.8198726	13108	43.00869565
0.964864492	0.648923453	97.08	10.196	102.372	68.08	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	46	0.956503591	0	496	20	730	467	36	4	12	7	0.915241127	0	0	1	0	3.349301815	23500	428.1691744	13292	43.43829787
0.964864492	0.654384272	91.376	9.952	93.594	62.376	0.963984051	{a}opt({c}{d})lo2({f}{b}{e})xor({g}{h})	0.98066972	47	0.956503591	0	487	20	699	458	36	4	12	7	0.915241127	0	0	1	0	4.74623251	24000	432.9154069	13467	43.8875
0.992896043	0.652909783	89.818	9.864	91.25	60.818	0.967030055	{a}opt({c}{d}seq({b}))lo2({f}{b}{e})xor({g}{h})	0.992952252	48	0.956030804	0	328	20	458	299	36	4	12	7	0.87449674	0	0	0.941176471	0	6.612634897	24500	439.5280418	13661	44.24081633
0.992896043	0.62262557	94.74	10.24	98.76	65.74	0.967030055	{a}opt({b}{d}{c})lo2({f}{b}{e})xor({g}{h})	0.992952252	49	0.956030804	0	500	20	721	471	36	4	12	7	0.87449674	0	0	0.941176471	0	9.516309738	25000	449.0443516	13861	44.556
0.9937143	0.668390651	93.396	10.552	96.608	64.396	0.967577554	{a}opt({c}{d}xor({b}))lo2({f}{d}{e})xor({g}{h})	0.993758357	50	0.95633166	0	448	20	647	419	39	5	16	10	0.87449674	0	0	0.941176471	0	10.25486851	25500	459.2992201	14104	44.69019608
0.9937143	0.68256612	95.908	10.984	100.482	66.908	0.967577554	{a}opt({c}{d}xor({b}))lo2({f}{d}{e})xor({g}{h})	0.993758357	51	0.95633166	0	415	20	589	386	36	4	12	7	0.87449674	0	0	0.941176471	0	16.52052259	26000	475.8197427	14389	44.65769231
0.9937143	0.633833351	102.932	11.272	110.95	73.932	0.967577554	{a}opt({c}{d}xor({b}))lo2({f}{d}{e})xor({g}{h})	0.993758357	52	0.95633166	0	451	20	645	422	36	4	12	7	0.87449674	0	0	0.941176471	0	12.7494204	26500	488.5691631	14693	44.55471698
0.9937143	0.654283961	101.622	10.924	108.998	72.622	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	53	0.95633166	0	466	20	670	437	36	4	12	7	0.87449674	0	0	0.941176471	0	16.79640818	27000	505.3655713	15005	44.42592593
0.9937143	0.656430464	99.388	11.2	105.722	70.388	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	54	0.95633166	0	429	20	606	400	39	5	16	10	0.87449674	0	0	0.941176471	0	14.72855878	27500	520.09413	15315	44.30909091
0.9937143	0.678675039	100.08	11.186	106.764	71.08	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	55	0.95633166	0	468	20	666	439	36	4	12	7	0.87449674	0	0	0.941176471	0	12.55142593	28000	532.645556	15609	44.25357143
0.9937143	0.653914292	98.026	10.944	103.508	69.026	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	56	0.95633166	0	459	20	655	430	36	4	12	7	0.87449674	0	0	0.941176471	0	9.796374083	28500	542.4419301	15890	44.24561404
0.9937143	0.621622097	99.912	10.958	106.206	70.912	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	57	0.95633166	0	467	20	669	438	36	4	12	7	0.87449674	0	0	0.941176471	0	10.53946686	29000	552.9813969	16168	44.24827586
0.9937143	0.645139001	93.666	10.156	96.254	64.666	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	58	0.95633166	0	448	20	624	419	36	4	12	7	0.87449674	0	0	0.941176471	0	9.61312604	29500	562.594523	16429	44.30847458
0.9937143	0.642506822	91.21	9.846	92.284	62.21	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	59	0.95633166	0	495	20	703	466	36	4	12	7	0.87449674	0	0	0.941176471	0	14.07424688	30000	576.6687698	16669	44.43666667
0.9937143	0.625975789	92.954	9.946	95.044	63.954	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	60	0.95633166	0	479	20	687	450	36	4	12	7	0.87449674	0	0	0.941176471	0	10.06709909	30500	586.7358689	16883	44.64590164
0.9937143	0.645773452	90.038	9.694	90.538	61.038	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	61	0.95633166	0	414	20	587	385	36	4	12	7	0.87449674	0	0	0.941176471	0	8.764087677	31000	595.4999566	17092	44.86451613
0.9937143	0.645677419	93.36	9.58	95.41	64.36	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	62	0.95633166	0	498	20	707	469	36	4	12	7	0.87449674	0	0	0.941176471	0	9.090833426	31500	604.59079	17292	45.1047619
0.9937143	0.608419439	95.63	10.306	99.266	66.63	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	63	0.95633166	0	494	20	705	465	36	4	12	7	0.87449674	0	0	0.941176471	0	7.285351515	32000	611.8761415	17513	45.271875
0.9937143	0.635107879	96.022	10.044	99.714	67.022	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	64	0.95633166	0	498	20	724	469	36	4	12	7	0.87449674	0	0	0.941176471	0	8.839491844	32500	620.7156334	17720	45.47692308
0.9937143	0.643642955	96.226	9.966	100.07	67.226	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	65	0.95633166	0	471	20	684	442	39	5	16	10	0.87449674	0	0	0.941176471	0	8.364859581	33000	629.080493	17931	45.66363636
0.9937143	0.663396344	93.132	9.936	95.42	64.132	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	66	0.95633166	0	481	20	697	452	36	4	12	7	0.87449674	0	0	0.941176471	0	10.16740799	33500	639.247901	18138	45.85671642
0.9937143	0.635797903	97.75	10.068	102.47	68.75	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	67	0.95633166	0	449	20	635	420	38	5	14	9	0.87449674	0	0	0.941176471	0	8.272968292	34000	647.5208693	18337	46.06764706
0.9937143	0.635952997	94.99	10.23	98.22	65.99	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	68	0.95633166	0	425	20	604	396	36	4	12	7	0.87449674	0	0	0.941176471	0	8.039323568	34500	655.5601928	18544	46.24927536
0.9937143	0.645759719	94.602	10.014	97.488	65.602	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	69	0.95633166	0	489	20	706	460	38	5	14	9	0.87449674	0	0	0.941176471	0	10.93315768	35000	666.4933505	18744	46.44571429
0.9937143	0.64592845	94.892	9.738	98.01	65.892	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	70	0.95633166	0	492	20	717	463	36	4	12	7	0.87449674	0	0	0.941176471	0	11.1566093	35500	677.6499598	18942	46.64225352
0.9937143	0.634411442	100.344	10.134	106.442	71.344	0.967577554	{a}opt({b}{d}{c})lo2({f}{d}{e})xor({g}{h})	0.993758357	71	0.95633166	0	499	20	724	470	38	5	14	9	0.87449674	0	0	0.941176471	0	7.601956367	36000	685.2519162	19140	46.83333333
